player_id,cluster,mean_status_WIN,mean_status_LOSE,mean_status_timeout,mean_completing_ratio,mean_kills,mean_kills_by_fire,mean_kills_by_stomp,mean_kills_by_shell,mean_lives,mean_coins,mean_all_enemies,mean_all_coins,mean_trajectory_length,total_runs,runner_ratio,killer_ratio,collector_ratio
daeba09e-2e25-49f2-bc1f-182fd053f3a4,3,0.5714285714285714,0.42857142857142855,0.0,0.9030395065035138,4.714285714285714,0.0,3.0,1.0,1.0,5.428571428571429,15.285714285714286,19.857142857142858,1184.5714285714287,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
e2215704-e65c-4f6f-893c-abdf71a1fd5f,3,0.8333333333333334,0.16666666666666666,0.0,0.9838879803816477,4.666666666666667,0.0,3.8333333333333335,0.0,0.8333333333333334,4.666666666666667,17.0,17.833333333333332,1301.3333333333333,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
e8fa1eee-54e3-49af-bd53-33de244a87be,3,0.5416666666666666,0.4583333333333333,0.0,0.8564822276433309,19.708333333333332,0.4583333333333333,11.625,6.083333333333333,1.0,10.458333333333334,21.125,16.916666666666668,2398.5,24,0.3333333333333333,0.3333333333333333,0.3333333333333333
f5316da9-ca44-46c2-937a-c669e5689fad,3,0.3333333333333333,0.6666666666666666,0.0,0.8775122265021006,11.166666666666666,0.0,4.666666666666667,2.1666666666666665,0.8333333333333334,7.333333333333333,19.333333333333332,18.333333333333332,1463.5,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
fa5a99b6-80d0-49ce-b93f-b2889b2935c2,3,0.2857142857142857,0.7142857142857143,0.0,0.5510987320116588,13.142857142857142,0.0,8.857142857142858,2.857142857142857,0.14285714285714285,6.571428571428571,14.142857142857142,9.142857142857142,1792.857142857143,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
fd747ef3-188e-4a86-b65d-7d3da34e1566,3,0.8571428571428571,0.14285714285714285,0.0,0.9950938480240958,6.0,0.0,3.857142857142857,1.0,1.7142857142857142,4.142857142857143,19.428571428571427,15.714285714285714,1393.7142857142858,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
0cbaa3ae-5376-4d7f-8053-7daba92be456,4,0.7142857142857143,0.2857142857142857,0.0,0.9304386121886117,6.0,0.0,3.2857142857142856,1.2857142857142858,1.7142857142857142,2.5714285714285716,16.0,12.714285714285714,1152.7142857142858,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
1dde97e4-3c95-4369-8793-baee2d3216f3,4,0.5,0.5,0.0,0.9111724942922592,6.75,0.0,5.5,0.25,0.25,2.75,22.75,13.0,1385.5,4,0.3333333333333333,0.3333333333333333,0.3333333333333333
2a8b8b1b-a314-4c4d-9721-8b94797932fb,4,0.7142857142857143,0.2857142857142857,0.0,0.9013033083506993,10.428571428571429,0.2857142857142857,6.142857142857143,2.4285714285714284,1.0,9.142857142857142,16.571428571428573,16.571428571428573,2166.8571428571427,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
30a3a049-3bd8-4990-a9fc-8e86de0afd8e,4,1.0,0.0,0.0,1.0,5.0,0.0,2.5,0.0,2.5,2.5,10.0,12.5,1295.0,2,0.0,0.0,0.0
